"term","weight"
"supposed","2.52202731662"
"told","2.0176094662"
"$","-53.8848103671"
"often","0.567180238565"
"car","4.90400614318"
"calling","0.710572480092"
"spend","-1.97315450401"
"stupid","7.96324755489"
"sound","1.29141076329"
"age","-2.53581413992"
"against","-3.81942619369"
"alone","3.1696140522"
"says","3.47860508584"
"new","23.6635813295"
"gonna","8.48959638758"
"especially","1.16603903591"
"order","-0.690623329064"
"girl","-6.04641653296"
"state","2.81783585517"
"idea","2.55535574728"
"almost","1.48164443969"
"true","-3.59590973085"
"date","-1.45515898968"
"sad","2.48125780412"
"know","0.789469320925"
"gift","-3.79249271508"
"past","-8.45059741618"
"piece","0.685116556332"
"knew","1.01763614826"
"hour","-2.23384330684"
"hear","1.58092166187"
"like","27.9958835358"
"missing","2.70128708715"
"asked","-0.958714781398"
"together","1.88206156151"
"same","2.22208183487"
"no","15.8800067708"
"played","3.50433540275"
"brought","-0.173964511914"
"to","36.2766698995"
"bring","-0.962962195243"
"name","1.82218137123"
"yours","-4.51217575231"
"text","-0.408207149733"
"home","-1.81784562673"
"bunch","1.33384529985"
"gotta","-6.68004808773"
"clothes","-2.16036751537"
"near","-0.194310414102"
"storm","0.0103375048302"
"too","11.7553540529"
"so","32.63413258"
"fighting","-0.418889256765"
"since","2.01633917807"
":)","-31.2157019951"
"by","-21.3372081523"
"scared","2.65348930934"
"""","40.0935996521"
"its","-13.2626729894"
"totally","-2.22754807542"
"putting","1.19314120846"
"sick","8.35436356819"
"sorry","6.32027613562"
"body","0.623137490164"
"14","-2.09719465803"
"pretty","-5.37675709916"
"thanksgiving","-0.668301011944"
"many","-6.30777668624"
"mad","2.01730097845"
"luck","3.666530566"
"times","6.10503414568"
"=","-0.322021121687"
"thoughts","-3.90494540196"
"plans","0.588751797779"
"front","-1.12753257947"
"fine","1.76626124149"
"number","0.56029862475"
"went","7.4307086579"
"trip","-3.78853235217"
"understand","1.98083842873"
"married","1.44363133369"
"broken","3.45538029011"
"proud","0.221283680001"
"working","-5.57436737956"
"they're","4.43885854383"
"interesting","-3.50514551668"
"shot","-3.03579416729"
"shit","8.48426048113"
"mother","-0.755645516282"
"yet","0.876539670587"
"life","-7.24391708451"
"store","1.15422378978"
"hang","-1.99074763594"
"cannot","-0.731691783998"
"month","-1.65294428837"
"busy","2.02644463089"
"old","-3.50321251174"
"black","3.76315192309"
"completely","0.411971714948"
"..","29.9145855654"
"friend","-1.42952466112"
"winter","0.434734002315"
"asleep","-0.404191542539"
"hanging","0.107870285746"
"8","-0.954724083011"
"here","10.5932300796"
"nothing","3.07670687617"
"place","3.60492175763"
"internet","3.63720673198"
"why","9.68943604667"
"always","-11.2231269409"
"account","2.77374428287"
"play","-10.0036111017"
"seems","3.39821317047"
"exactly","0.70526552303"
"yesterday","0.0914724309864"
"saturday","-1.74498386847"
"soon","6.35550239482"
"stopped","0.805518634747"
"when","17.9748005638"
"sense","0.103897069515"
"family","-11.7778434473"
"important","-0.0993283870736"
"sunday","-0.696484133253"
"could","12.7347444571"
"making","2.19357658128"
"loved","-2.73065364022"
"other","0.496803012135"
"pain","6.74689914705"
"found","0.633119931661"
"small","3.12374164304"
"being","11.8411429365"
"months","0.742731135987"
"law","-3.35119260787"
"under","0.158577773236"
"green","0.499475123921"
"<url>","-0.347475032728"
"pass","-0.603575236913"
"5","-3.0028087305"
"safe","-2.03703650017"
"child","-5.27215233836"
"morning","-13.6434310027"
"news","10.5719996264"
"looked","1.44086639904"
"door","0.497464397964"
"alive","-0.908357813839"
"fight","0.0371187078936"
"10","-1.78726799296"
"comes","1.07087518533"
"serious","-0.694409522239"
"myself","6.44481606964"
"leaving","0.834610590111"
"here's","0.530492630402"
"beautiful","-7.69872635385"
"m","-2.40045352935"
"turned","1.52460470886"
"am","-7.64957410546"
"an","-0.155810957569"
"definitely","-4.04240010688"
"b","-4.47535154176"
";","9.75909736981"
"born","1.34186549286"
"learn","-0.0442845300816"
"begin","0.184098605891"
")","-27.5603462597"
"won","-13.7973574269"
"hit","-1.41439118149"
"called","1.40783628851"
"hair","1.21872401843"
"run","0.308335736341"
"ass","-3.11564911506"
"try","4.33186652178"
"telling","0.447135176573"
"tried","5.95346586121"
"lucky","3.69368885292"
"save","-4.30889859239"
"outside","0.296475335574"
"look","-1.10181059861"
"worst","2.83779021949"
"friends","-5.55618649778"
"huge","-0.70880125215"
"%","-8.65572251401"
"hold","0.677279026025"
"lives","-1.52534033169"
"easy","3.82773926707"
"go","3.86742850995"
"while","1.83840538069"
"was","15.6992864052"
"deal","1.3359483563"
"minutes","-2.06413057646"
"inside","-1.32295248353"
"30","-4.38917168797"
"appreciate","0.214039305397"
"aren't","1.10890689632"
"50","-4.8260523936"
"them","0.974491339578"
"seen","-0.185048945092"
"been","13.9762847235"
"even","7.05205516432"
"(","-32.8356609508"
"eating","-2.7757392414"
"cream","1.07952733945"
"touch","-0.536241476261"
"about","-4.35293769387"
"color","1.91348813871"
"sweet","-7.27265307184"
"drive","1.28245713874"
"favorite","-1.26541265208"
"on","30.8295380259"
"_intercept","27.9082097081"
"keeps","0.997214099694"
"friday","3.10924483304"
"someone","8.98653644915"
"real","-4.35860225756"
"smart","-1.85676847725"
"type","0.909211917684"
"cake","0.262142497293"
"yeah","4.25732582726"
"evening","-3.78741457672"
"you've","2.28562290934"
"five","-0.23368938411"
"forever","-8.37554899327"
"kind","2.77324632128"
"smile","3.18377943778"
"thanks","-8.04732723259"
"continue","-0.153425454946"
"drink","-7.72797259784"
"wonder","2.14713038866"
"16","-2.06040796582"
"game","-15.2638759605"
"used","-0.157604896353"
"lol","14.3480100453"
"t","2.34407793672"
"wait","4.2648147272"
"peace","-1.55994409631"
"week","-3.55694963313"
"strong","-0.197957228101"
"very","-15.1851288278"
"ride","-4.06994053047"
"die","4.18785931357"
"others","5.64933563792"
"office","-1.20773654518"
"most","-5.55023651403"
"thinks","-1.25478208724"
"anniversary","1.34650490347"
"mess","0.0226392801999"
"there","-6.34501048931"
"he's","4.83140533644"
"everyone","0.889178229014"
"visit","3.15659178136"
"listen","-0.38299567569"
"anything","0.0673161296741"
"service","-2.72336045648"
"son","-4.01189944783"
"stuff","5.40464581674"
"set","3.42396285427"
"self","-5.83381674392"
"feeling","6.96832395069"
"pictures","-4.39272637247"
"turn","1.83489526367"
"running","-4.59858205641"
"picture","-0.479701519015"
"either","3.52921431892"
"thought","-0.384170634821"
"needed","-0.123144034277"
"fan","-0.0634203239213"
"were","-3.77461787941"
"funny","1.01119343375"
"that's","2.80221550916"
"really","7.17326562576"
"everything","8.74775034798"
"out","-7.89983557353"
"move","0.822029640022"
"book","-3.70118095734"
"must","0.841984076716"
"in","-59.9849324113"
"as","8.13797379481"
"pm","-0.895557002206"
"put","-0.371740227592"
"get","-13.8894518435"
"the","-24.2862419033"
"i'm","26.7017623912"
"lose","3.74867412971"
"took","-2.05271307283"
"known","0.934188365375"
"n","-18.7865666801"
"room","-0.710164021787"
"bought","1.19707412505"
"from","2.19771102078"
"enough","1.2869246938"
"sent","0.0272241225059"
"if","1.85326390736"
"caught","0.68813262091"
"¬","2.01965787998"
"places","8.8142579509"
"can","16.4461202249"
"yes","-1.15869220396"
"question","-1.10393068417"
"wear","0.966740361005"
"it's","41.4576489408"
"kid","-1.59836789472"
"take","-1.97699040468"
"slow","0.716405255694"
"line","0.519223039462"
"computer","2.49801119925"
"early","-1.24324976759"
"mine","-0.0284152227714"
"breakfast","-2.67411051078"
"wanted","1.759021362"
"person","-0.676882242005"
"off","6.97878521234"
"knows","-1.22145594102"
"hospital","2.65862528439"
"mean","4.38820546732"
"ice","0.225478650066"
"saw","1.45476657672"
"super","-1.20833237677"
"realize","-0.0359573888228"
"gets","-3.08773823641"
"eyes","2.18685594722"
"enjoy","1.00444580498"
"wants","-3.90699877364"
"might","7.77784564323"
"4th","-1.6476386597"
"tomorrow","-1.7224683881"
"next","0.818185886737"
"open","1.98192755565"
"world","-2.22291139277"
"learned","-0.470412746178"
"special","4.0631785032"
"officially","0.906524139485"
"of","-59.8784175749"
"grow","1.40636015777"
"needs","-0.350758148694"
"football","2.93324289577"
"paste","-4.75421568925"
"who","-1.03093945316"
"beat","1.20042181313"
"great","1.65579758204"
"it","20.622863596"
"heaven","-2.49033375292"
"doesn't","4.54658054776"
"college","0.734754434806"
"some","7.9493067298"
"seriously","3.56865288829"
"city","-1.26325865997"
"own","0.355493690979"
"catch","1.23639034602"
"my","50.3204598394"
"¢","-15.2342313694"
"will","-16.4980673303"
"dr","4.82498262429"
"finish","-1.61678031942"
"walking","2.75683134422"
"better","11.6214112944"
"watching","31.6900918532"
"man","-11.8808321397"
"want","7.24623895169"
"group","-3.31367455361"
"dark","1.40838830039"
"work","-5.43271923502"
"then","12.2369378415"
"calls","-0.636437867979"
"trust","0.154925003231"
"christmas","-0.353810560209"
"after","-0.618552823231"
"daughter","-4.82086710632"
"thinking","-2.13972116125"
"cleaning","-3.26491151755"
"post","-0.463985804142"
"parents","-2.56716696606"
"over","-16.1269486053"
"mind","0.34478925012"
"copy","-5.31489430957"
"full","0.937623128057"
"wife","-2.69271549251"
"phone","-1.31481337091"
"moving","-1.97911978266"
"halloween","7.90068685248"
"3","-11.3096217577"
"loving","-0.389062909203"
"baby","3.48056036221"
"doctor","4.86289101122"
"hard","0.155184232843"
"problems","2.26801566961"
"win","-25.5244220559"
"where","3.47259294702"
"*","30.7359070575"
"i've","11.1860947125"
":","25.3529349811"
"through","-0.581992232121"
"head","6.75781973582"
"birthday","-0.429645551695"
"wonderful","-0.468526759002"
"believe","-0.961698508076"
"much","11.3365453061"
"getting","-0.232479885848"
"page","-0.431438941996"
"ago","3.89009932431"
"died","0.538452807073"
"fix","1.67696066326"
"can't","14.6787730047"
"sitting","-1.14979451863"
"ahead","-0.990334925038"
"feel","18.1205988001"
"listening","4.74683938015"
"test","-2.0283161783"
"who's","1.39878897308"
"holiday","2.53433260883"
"words","-6.86566092295"
"quick","-0.906192018435"
"end","0.743206101872"
"star","1.04997088053"
"waiting","-2.47667816027"
"giving","-10.7880211643"
"happened","1.73638937766"
"four","1.11362508912"
"plan","-0.209299372748"
"we're","0.0900372393715"
"water","-0.159212547712"
"passed","0.492054279351"
"speak","-0.843838317928"
"drop","-0.579775409136"
"finally","12.248705358"
"pics","1.06294203198"
"let's","2.06795923608"
"keep","6.74310682607"
"heart","5.95804648818"
"hoping","-1.29806542778"
"amazing","-4.01004546832"
"me","62.5807186292"
"there's","7.18686369788"
"fell","1.70496776892"
"prayers","-0.561429980568"
"did","5.97995826467"
"hopefully","4.42240483489"
"be","24.8278559486"
"blue","2.95551455763"
"see","-17.2801824914"
"means","-1.95307846928"
"2nd","-1.23768383319"
"single","1.27033422915"
"last","2.92066358015"
"e","-0.409812304257"
"support","-1.61041840081"
"thing","8.50998842051"
"call","1.74547804578"
"at","-27.2811765994"
"tuesday","0.120762493203"
"p","-1.04518466432"
"her","-28.5662055528"
"awesome","-5.90284174092"
"area","0.842820141209"
"which","-1.77327671225"
"forward","-4.00471998633"
"start","-3.83344409354"
"school","-4.44209882188"
"shower","-3.21881284261"
"s","-4.65944654673"
"that","-21.6288625885"
"instead","-0.121764019279"
"wasn't","1.85944333492"
"final","-0.747441689464"
"posted","21.8334026034"
"father","-3.9294587206"
"whole","2.12942060933"
"saying","2.79347548272"
"happy","-5.03486498294"
"nobody","2.07033553818"
"give","-6.89850577835"
"worked","-2.11420967034"
"one","-11.0831584116"
"wow","-1.58712358802"
"back","18.93325057"
"join","-15.6709695526"
"broke","3.20331356011"
"mouth","-0.656102386295"
"merry","-0.129976433956"
"moment","2.4553503561"
"anyone","1.78500064306"
"decided","0.252512614561"
"starting","2.8077894383"
"driving","0.123343416049"
"does","-2.51426895129"
"party","1.06831714215"
"kick","-2.49876582785"
"crazy","0.276756661325"
"fb","-5.34374182821"
"would","-7.32944120556"
"song","2.35126991976"
"maybe","4.29442114366"
"company","-1.77247009676"
"dog","0.974770559717"
"health","0.161447821527"
"card","-25.2285268224"
"story","-1.68915972571"
"ask","-1.68640294618"
"started","2.41539429304"
"likes","-1.20112908895"
"something","13.9948852954"
"think","-1.86347591293"
"just","17.3293799023"
"less","-0.480155550877"
"1","8.2065634386"
"team","-0.874015873816"
"days","-11.7865379408"
"sucks","3.31059928529"
"<newline>","15.7736335071"
"hate","12.2057814425"
"side","-0.405212781006"
"two","0.058398150491"
"heat","-0.224300320183"
"comments","-0.201598201468"
"facebook","27.8293662383"
"feet","-0.719304395629"
"people","8.13965695733"
"laugh","-1.77517641042"
"weird","4.60401859085"
"dead","5.57015166417"
"warm","-1.19000849114"
"plus","1.63934390045"
"perfect","-1.44774629492"
"figure","-0.784527264257"
"extra","4.72433828536"
"show","7.0355758774"
"act","-0.403369710062"
"given","-1.15509528546"
"second","1.23161793821"
"also","2.59502788457"
"done","-2.33562139002"
"hand","4.62835325509"
"are","-27.9075763254"
"w","-8.36673105066"
"monday","0.00690740142933"
"vacation","-0.202365723276"
"games","1.70911280538"
"thankful","-4.04590224872"
"13","-4.9314476587"
"dream","2.52798205778"
"write","1.54214416168"
"message","0.145270682519"
"you're","18.3061804771"
"chicken","1.33153014324"
"season","1.48123655931"
"they","4.09690894439"
"year","-0.747747613882"
"actually","4.25168445557"
"class","-1.2412887344"
"you","37.5152291935"
"remember","0.21148161403"
"loves","7.51812562255"
"eat","-2.93475727346"
"gives","-0.801049111046"
"¸","-4.05167872877"
"pay","3.0389518902"
"looking","-4.56206163533"
"6","-0.158340781006"
"into","0.484910704778"
"stay","0.234750532949"
"tv","19.3753158322"
"best","1.79181036156"
"1st","2.28520270339"
"wake","1.58166908452"
"yourself","3.0246073859"
"missed","1.09465977539"
"11","-1.7669608521"
"respect","-1.04703455281"
"around","2.67760693018"
"experience","-0.849671465319"
"comment","-3.92087942554"
"food","-1.46210377171"
"again","12.5875712827"
"summer","-2.37089394059"
"husband","-4.75049305337"
"ran","-0.847997187004"
"because","6.01939576117"
"we","-41.3000547968"
"changed","-0.47676892898"
"clean","-3.78734541232"
"close","1.25259679695"
"mr","0.281563376103"
"rest","-0.704978481293"
"women","-7.1461730791"
"€","18.6456466558"
"late","1.36531692369"
"25","-4.14155413901"
"share","-2.41387830035"
"present","-0.482250696435"
"minute","-0.40413058216"
"40","0.333169405645"
".","19.6326409241"
"another","-2.51186590985"
"trouble","1.12658239372"
"helping","-1.02969899164"
"become","1.31184639375"
"seem","2.40141039591"
"24","-2.99436855734"
"official","0.0351999324836"
"lots","1.44736640362"
"taken","1.30944272709"
"thank","-7.33576173046"
"makes","11.4148760839"
"9","1.56594987162"
"make","14.0834519861"
"break","0.144125718592"
"miss","0.379117044918"
"live","8.16504282668"
"turns","0.874389230058"
"check","-34.3590131996"
"hearing","0.234028097876"
"sun","-0.228489848204"
"worth","-2.32502935309"
"cut","-2.70130969764"
"vote","4.19730673772"
"come","-15.160501576"
"bed","1.01058044748"
"blood","1.24616143655"
"due","-0.367417425983"
"happens","-0.547540448881"
"finished","-3.79768993296"
"quite","-0.179220255225"
"forgot","1.06211828373"
"cat","3.01875555691"
"lot","-0.984508603748"
"made","11.0559798829"
"met","1.42455941445"
"watch","19.9478588266"
"hey","3.95658212295"
"walked","-0.0228713429435"
"crap","0.434042540285"
"weeks","3.31034673744"
"money","-3.62825156632"
"king","0.296006526929"
"men","-4.31800637994"
"america","-1.07080474306"
"wishes","-0.394419275299"
"box","2.3036526888"
"having","3.62660257436"
"longer","0.910210906732"
"add","-1.00736953193"
"personal","0.317453031291"
"looks","-4.22475722289"
"online","2.81380180319"
"she","-21.6418612954"
"‚","-4.02952117919"
"coming","5.22713229098"
"american","-3.46219807659"
"without","0.375264934776"
"already","3.83369158984"
"i'll","3.65506772302"
"part","3.82624829075"
"guys","3.30931294893"
"worry","2.05939827971"
"you'll","2.009778446"
"sister","5.29844502506"
"years","-10.2083070367"
"#","-5.01429657236"
"lunch","-6.00196069145"
"growing","1.71297040609"
"simple","-0.551644232905"
"now","33.4837663454"
"-","23.9501194714"
"doing","-0.739064388163"
"movie","-0.768272815694"
"up","-1.77310286271"
"face","-2.03670667733"
"living","0.155692293994"
"woke","1.66448859562"
"interested","3.9476200433"
"movies","2.20710760253"
"what's","-3.38190252047"
"rock","2.87191929567"
"fact","2.43107336359"
"town","-0.428518754172"
"reading","1.24836889031"
"rather","2.74158311524"
"straight","-0.346500424192"
"oh","9.10667706993"
"cry","1.95443725727"
"goes","0.706446450077"
"how","11.5931899498"
"help","1.56974788427"
"lady","-0.11991660341"
"little","-3.65493451682"
"bad","5.94260688443"
"children","-3.15192794728"
"left","2.11694860826"
"ok","3.41961442859"
"love","-36.5246604386"
"big","9.86965543168"
"?","-8.09635768163"
"point","-0.451075296777"
"future","0.0395869987994"
"talk","1.05644644882"
"snow","0.0542497910707"
"his","-11.1864930896"
"wish","13.0921831368"
"honor","-0.844727368962"
"choice","-1.63509936369"
"cause","9.85286826718"
"those","-0.37603654151"
"time","-19.6707967731"
"later","1.50204154316"
"both","-10.9563929089"
"guess","4.18538019473"
"along","9.36998271308"
"not","4.26273922147"
"first","-5.80706875237"
"once","7.00303494471"
"felt","0.808262735505"
"100","-6.96449412907"
"three","-0.753504179134"
"short","-2.43497441458"
"somewhere","-0.709574469711"
"+","-5.962264648"
"rain","-0.616216426996"
"stuck","2.9642410572"
"us","-26.9541403428"
"ever","6.17588452331"
"course","1.93633183745"
"until","-5.64776868691"
"behind","0.907918449816"
"house","-8.78938359494"
"å","-5.12840501728"
"truly","-1.05142684386"
"7","2.8255122661"
"high","2.0649999616"
"pick","-0.334316991403"
"dad","5.27357544197"
"matter","1.57530919828"
"tree","-2.06484167917"
"problem","-0.00608636141752"
"attention","0.183111224807"
"leave","-0.081885439067"
"voice","3.12017015138"
"u","-2.95717739987"
"earth","-1.74478476375"
"poor","0.347746663649"
"feels","2.93695773791"
